| Map (#) | Expand | WIN% | W | L | ATK  1st | DEF  1st | ATK  RWin% | RW | RL | DEF  RWin% | RW | RL | Agent Compositions |
|  | | [2023/10/27  Sentinels  13/7  def  7/5  atk  6/2    Showmatch  Main Event](/281551/g2-esports-vs-sentinels-g2-sentinels-showmatch-showmatch/?map=3) | | | | | | | | | | |  |
|  | | [2023/6/08  The Guard  8/13  atk  2/10  def  6/3    Lower Round 2  Playoffs](/212534/the-guard-vs-g2-esports-challengers-league-north-america-lr2/?map=1) | | | | | | | | | | |  |
|  | | [2023/6/04  Shopify Rebellion Black  13/3  atk  11/1  def  2/2    Lower Round 1  Playoffs](/212532/shopify-rebellion-vs-g2-esports-challengers-league-north-america-lr1/?map=3) | | | | | | | | | | |  |
|  | | [2023/6/01  Oxygen Esports  6/13  atk  2/10  def  4/3    Upper Quarterfinals  Playoffs](/212525/oxygen-esports-vs-g2-esports-challengers-league-north-america-ubqf/?map=1) | | | | | | | | | | |  |
|  | | [2023/5/18  The Guard  11/13  atk  8/4  def  3/9    Week 10  Split 2](/196158/the-guard-vs-g2-esports-challengers-league-north-america-w10/?map=1) | | | | | | | | | | |  |
|  | | [2023/5/11  FaZe Clan  5/13  atk  4/8  def  1/5    Week 9  Split 2](/196152/g2-esports-vs-faze-clan-challengers-league-north-america-w9/?map=1) | | | | | | | | | | |  |
|  | | [2023/4/27  Moist Moguls  4/13  atk  3/9  def  1/4    Week 7  Split 2](/196140/g2-esports-vs-moist-moguls-challengers-league-north-america-w7/?map=2) | | | | | | | | | | |  |
|  | | [2023/4/01  M80  13/10  atk  8/4  def  5/6    Grand Final  Mid-Season Face Off](/185981/m80-vs-g2-esports-challengers-league-north-america-gf/?map=1) | | | | | | | | | | |  |
|  | | [2023/3/31  The Guard  13/11  def  7/5  atk  6/6    Lower Final  Mid-Season Face Off](/185987/the-guard-vs-g2-esports-challengers-league-north-america-lbf/?map=3) | | | | | | | | | | |  |
|  | | [2023/3/31  Oxygen Esports  13/11  def  4/8  atk  9/3    Lower Round 3  Mid-Season Face Off](/185986/oxygen-esports-vs-g2-esports-challengers-league-north-america-lr3/?map=3) | | | | | | | | | | |  |
|  | | [2023/3/29  FaZe Clan  18/16  def  7/5  atk  5/7  OT  6/4  Lower Round 1  Mid-Season Face Off](/185983/faze-clan-vs-g2-esports-challengers-league-north-america-lr1/?map=1) | | | | | | | | | | |  |
|  | | [2023/2/11  BreakThru  13/9  def  7/5  atk  6/4    Week 2  Split 1](/168995/g2-esports-vs-breakthru-challengers-league-north-america-w2/?map=2) | | | | | | | | | | |  |
| Icebox (26) |  | 50% | 13 | 13 | 10 | 16 | 54% | 133 | 112 | 50% | 140 | 140 | (3)  (2)  (13)  (1)  (1)  (2)  (3)  (1) |
|  | | [2025/7/09  Bilibili Gaming  11/13  def  7/5  atk  4/8    Elimination (A)  Group Stage](/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a/?map=3) | | | | | | | | | | |  |
|  | | [2025/6/18  Gen.G  13/11  def  4/8  atk  9/3    Lower Round 2  Playoffs](/498631/gen-g-vs-g2-esports-valorant-masters-toronto-2025-lr2/?map=3) | | | | | | | | | | |  |
