| Player | Agents | Rnd | R2.0 | ACS | K:D | KAST | ADR | KPR | APR | FKPR | FDPR | HS% | CL% | CL | KMax | K | D | A | FK | FD |
| [seph1roth  FS](/player/27244/seph1roth) |  | 247 | 1.14 | 212.2 | 1.18 | 74% | 135.9 | 0.75 | 0.37 | 0.11 | 0.09 | 39% | 29% | 6/21 | [23](/521240/team-nkt-vs-full-sense-challengers-2025-southeast-asia-split-3-w5) | 186 | 157 | 92 | 27 | 23 |
| [Sato  LEV](/player/21659/sato) | (+1) | 595 | 1.14 | 252.7 | 1.22 | 71% | 164.4 | 0.89 | 0.19 | 0.17 | 0.16 | 32% | 18% | 4/22 | [35](/509814/leviat-n-vs-nrg-vct-2025-americas-stage-2-w3) | 531 | 436 | 112 | 104 | 97 |
| [QutionerX  EF](/player/10161/qutionerx) | (+2) | 299 | 1.13 | 240.2 | 1.21 | 73% | 160.1 | 0.87 | 0.19 | 0.11 | 0.10 | 29% | 7% | 2/27 | [32](/511231/ulf-esports-vs-eternal-fire-challengers-2025-t-rkiye-birlik-split-3-lbf) | 260 | 215 | 56 | 33 | 31 |
| [primmie  TLN](/player/25255/primmie) |  | 393 | 1.13 | 215.3 | 1.21 | 74% | 137.4 | 0.80 | 0.22 | 0.10 | 0.10 | 40% | 22% | 8/37 | [30](/530354/talon-vs-nongshim-redforce-vct-2025-pacific-stage-2-ur1) | 313 | 258 | 86 | 41 | 39 |
| [Zeus  OAS](/player/46135/zeus) | (+1) | 391 | 1.13 | 243.6 | 1.18 | 71% | 154.8 | 0.85 | 0.17 | 0.22 | 0.14 | 27% |  | 0/25 | [26](/512872/126thieves-vs-oasis-gaming-challengers-2025-southeast-asia-split-3-b) | 331 | 281 | 66 | 86 | 53 |
| [Zimo  TWIS](/player/36070/zimo) | (+2) | 408 | 1.13 | 191.5 | 1.15 | 73% | 127.5 | 0.72 | 0.31 | 0.07 | 0.07 | 39% | 25% | 14/57 | [31](/531976/twisted-minds-vs-team-raad-challengers-2025-mena-resilience-lan-finals-lr1) | 295 | 257 | 127 | 28 | 30 |
| [OXY  C9](/player/18796/oxy) | (+1) | 298 | 1.13 | 250.6 | 1.18 | 76% | 161.2 | 0.88 | 0.18 | 0.19 | 0.17 | 28% | 17% | 3/18 | [27](/509819/cloud9-vs-2game-esports-vct-2025-americas-stage-2-w4) | 262 | 222 | 53 | 56 | 50 |
| [valyn  G2](/player/3885/valyn) |  | 384 | 1.13 | 217.3 | 1.19 | 76% | 139.6 | 0.80 | 0.38 | 0.09 | 0.07 | 27% | 17% | 4/23 | [26](/509806/sentinels-vs-g2-esports-vct-2025-americas-stage-2-w1) | 307 | 257 | 147 | 35 | 25 |
| [Muddy  LGCY](/player/28892/muddy) | (+2) | 994 | 1.13 | 238.8 | 1.15 | 72% | 159.6 | 0.85 | 0.21 | 0.15 | 0.12 | 27% | 14% | 12/84 | [33](/510030/relaxed-reptilians-vs-revitalize-funhavergg-zero-in-qualifier-6-ro32) | 843 | 730 | 208 | 154 | 116 |
| [JonahP  G2](/player/4581/jonahp) | (+2) | 384 | 1.13 | 214.6 | 1.19 | 76% | 133.4 | 0.77 | 0.30 | 0.11 | 0.09 | 23% | 20% | 10/51 | [23](/509817/g2-esports-vs-evil-geniuses-vct-2025-americas-stage-2-w3) | 294 | 248 | 115 | 41 | 36 |
| [Rafe  HMNY](/player/46371/rafe) | (+3) | 215 | 1.13 | 223.2 | 1.13 | 75% | 143.9 | 0.79 | 0.49 | 0.08 | 0.07 | 31% | 11% | 2/19 | [24](/523954/tsm-vs-yfp-pigeons-bell-esports-challenge-2025-online-qualifier-2-sf) | 170 | 150 | 105 | 17 | 15 |
